Date,BAC return,C return,GS return,MS return,JPM return,WFC return
11/2/2006,-0.00055991,-0.006987423,0.012918919,0.005286702,-0.00063925,-0.00333426
11/3/2006,-0.002240896,-0.003015682,-0.001387481,0.001618123,-0.00021322,0.003624198
11/6/2006,0.01459854,0.012704174,0.015336932,0.02369413,0.016208147,0.009444444
11/7/2006,0.003873824,0.00517722,-0.006947368,-0.001841136,-0.003357817,0.001375894
11/8/2006,0.003491363,0.001782884,0.000476998,-0.004743083,0.00315856,0.011266832
11/9/2006,-0.001831166,0.000790983,-0.021136833,-0.009134234,-0.008396306,-0.001902174
11/10/2006,0.004769767,0.000395179,0.012338998,0.024448898,0.007832345,-0.001633542
11/13/2006,-0.005660033,0.001185068,0.003581738,0.008476787,0.0010502,-0.004908645
11/14/2006,0.006793977,0.001183665,0.014009482,0.011638433,0.001888376,0.006029049
11/15/2006,-0.006383367,-0.005517241,0.014446312,0.005496613,-0.006282723,-0.013075456
11/16/2006,0.007709251,0.003764613,0.018694009,0.000254259,0.008429926,0.007452388
11/17/2006,-0.000910747,0.002763522,-0.008540057,0.005592272,-0.003970742,-0.00630137
11/20/2006,0.000911577,-0.001377953,0.01235644,0.002401416,0.005035669,-0.003032809
11/21/2006,-0.003278689,-0.002365464,0.011699164,-0.0010087,-0.003131524,-0.01050885
11/22/2006,-0.001644737,0.003161431,0.012665198,-0.000378644,-0.003350785,-0.007546115
11/24/2006,-0.001281347,-0.009060469,-0.003410945,-0.003156566,-0.006724102,0.001689665
11/27/2006,-0.011730205,-0.008348241,-0.042113095,-0.03419886,-0.013539243,-0.010402024
11/28/2006,0.006491098,-0.006614552,0.020765367,0.008786885,-0.009221531,-0.002556818
11/29/2006,-0.004606597,0.006053269,-0.004565747,0.006370255,0.01017316,0.00996867
11/30/2006,-0.003146983,-0.005415162,-0.007236775,-0.016147785,-0.008356546,-0.006204174
12/1/2006,-0.006499536,-0.004234725,-0.001540041,-0.011685924,-0.005834054,-0.000283768
12/4/2006,-0.01588785,0.012555691,0.028534704,0.026438156,0.018039557,0.007380074
12/5/2006,0.002659069,0.0102,0.00779805,0.009319182,0.007685739,0.000845309
12/6/2006,-0.001894298,0.005345476,0.016814642,0.008078995,-0.007838983,0
12/7/2006,-0.003795787,-0.001378495,-0.023414634,-0.005470042,-0.004270767,-0.000844595
12/8/2006,-0.015812536,0.022480773,0.024475524,0.005500128,0.002787905,-0.001690617
12/11/2006,0.017228029,0.019864995,-0.01257923,0.002035364,0.016894782,-0.001128987
12/12/2006,0.004757374,-0.011913767,-0.012443215,-0.00469722,0.00168244,-0.001412828
12/13/2006,0.005492424,0.001339713,-0.00845,0.007142857,-0.000629855,0.000282965
12/14/2006,0.001506875,0.015099388,0.00917755,0.00810537,0.007352941,0.006223479
12/15/2006,0.00282114,0.018075692,-0.001449058,-0.004271357,0.00729927,0.002249086
12/18/2006,0.005813953,0.025337525,0.017013611,0.014004542,-0.001449275,0.003085554
12/19/2006,-0.000932314,-0.003787879,-0.009840583,0.016548463,0.000829359,0.003635347
12/20/2006,0.001493094,-0.001267427,0.000645995,-0.005140759,-0.00103584,-0.000278629
12/21/2006,-0.002795378,-0.007251632,-0.016238764,-0.006028543,0.008917462,0.000278707
12/22/2006,-0.002990095,-0.003834916,-5.05E-05,-0.013491769,-0.015621788,-0.001393146
12/26/2006,0.00656045,0.010449129,0.008935332,0.012923463,0.008770098,0.002790179
12/27/2006,0.001303538,0.023403483,0.01045732,0.015731451,0.013247775,0.003060657
12/28/2006,-0.002231728,-0.009395497,-0.005694479,-0.005,-0.00061287,-0.003606103
12/29/2006,-0.004846226,-0.003221188,-0.007221116,-0.001961025,-0.012673753,-0.010022272
1/3/2007,-0.001123806,-0.008078995,0.006872335,0.002333292,-0.004761905,0.005061867
1/4/2007,0.006375398,-0.003438914,-0.009316461,0.003553051,0.002496359,0.001678791
1/5/2007,-0.008011925,-0.005266981,0.001005783,-0.012818948,-0.008300477,-0.005586592
1/8/2007,0.003944403,0.005112288,0.02351168,0.006059857,0.003347981,-0.002808989
1/9/2007,0.000935454,-0.008719346,0.00171796,-0.002335587,-0.004171011,0.002535211
1/10/2007,0.001495327,-0.008063038,0.019747158,0.00505175,0.007329843,-0.003090756
1/11/2007,-0.005972378,0.000738962,0.01811542,0.009807527,0.004365904,0.001691094
1/12/2007,0.002253098,0.003876685,0.009958467,0.005948768,-0.006623887,-0.000844119
1/16/2007,0.001124016,0.007171754,-0.001869246,-0.003017137,0.00833507,0.020275979
1/17/2007,-0.002245509,-0.006938105,-0.001685472,-0.002784167,0.000826617,0.001104057
1/18/2007,-0.000562641,0,-0.016648689,-0.014202476,-0.00578154,-0.00192997
1/19/2007,0.005629574,0.002022431,0.002909195,0.003570989,0.012668744,-0.00441989
1/22/2007,0.001119612,0.003302752,0.012744305,0.022208589,0.018457752,-0.008046615
1/23/2007,-0.006150979,-0.003474762,-0.001549514,-0.008282319,0.003423278,0.007272727
1/24/2007,-0.002250563,0.006239677,0.035082769,0.024570322,0.010636163,0.015273535
1/25/2007,-0.015037594,-0.016414372,-0.031940027,-0.028706438,-0.002978554,-0.013129103
1/26/2007,-0.006870229,0.013721491,0.002018116,-0.001216249,-0.010157339,-0.001385809
1/29/2007,-0.011145273,-0.011157856,-0.011522248,-0.012177302,-0.004627767,-0.002220372
1/30/2007,0.012825496,0.003884573,-0.01070887,0.00739645,0.014352133,-0.001390821
1/31/2007,0.008825787,0.015846692,0.01618929,0.01309349,0.014946194,0.000557103
2/1/2007,0.004944846,-0.007255578,-0.000754148,0.012803479,0.005497742,-0.001391982
2/2/2007,-0.001892506,-0.001279006,0.006745283,0.002265951,-0.005467682,-0.000278784
2/5/2007,0.002654532,0.001646542,-0.004123132,-0.009162304,0.000589044,-0.004740658
2/6/2007,0.006240545,0.003652968,0.009880028,-0.001681278,0.000784929,0.005884001
2/7/2007,0.002819019,0,-0.005124621,0.001323229,0.004117647,-0.000557103
2/8/2007,-0.000749625,-0.009281165,0.00163896,-0.005045651,-0.005467682,-0.008918618
2/9/2007,-0.006189047,-0.0191036,-0.002898551,-0.012557353,-0.010013744,-0.005624297
2/12/2007,0.000943574,0.000561798,-0.010080645,-0.018341893,0.000396668,0.00678733
2/13/2007,0.01300905,0.005240502,0.006630986,0.012082711,0.010111023,0.00758427
2/14/2007,0.005955704,0.008750698,0.022914412,0.013661538,0.00922473,0.003902983
2/15/2007,-0.003700278,0.00055371,-0.002667893,0.005585236,-0.004084014,0
2/16/2007,0.00371402,-0.002029146,0.000461212,-0.005554214,0.000781097,-0.006942516
2/20/2007,0,0.001663586,0.018532178,0.011534726,0.007414634,0.005033557
2/21/2007,-0.002590194,-0.008119579,-0.003575631,-0.001440403,0.000387372,0.006677796
2/22/2007,-0.003895381,-0.002976744,-0.005359982,-0.005289097,-0.000193611,0.000829187
2/23/2007,-0.015642458,0.003358836,-0.011280084,-0.021510574,-0.011812548,-0.016017675
2/26/2007,-0.001324253,-0.020271527,-0.011547344,-0.03025812,-0.004311189,0.001122649
2/27/2007,-0.037696533,-0.039483675,-0.08411215,-0.055909322,-0.031293053,-0.035884497
2/28/2007,0.000590551,-0.004545455,0.029336735,0.010656954,0.003453881,0.009014248
3/1/2007,-0.00885304,0.014095692,-0.010359356,0.002269087,-0.003846933,-0.001152738
3/2/2007,-0.007344184,-0.021730619,-0.019983973,-0.022506326,-0.020528455,-0.006347374
3/5/2007,-0.00739852,-0.014408645,-0.02897736,-0.023978202,-0.013488276,-0.011904762
3/6/2007,0.026188558,0.027005076,0.038789474,0.026661083,0.02061422,0.018513077
3/7/2007,-0.006870828,-0.007117438,-0.009018595,0.004622706,-0.003297609,-0.009809579
3/8/2007,0.003558015,0.005575468,0.022240401,0.020571119,0.007857734,0.005536131
3/9/2007,0.003545401,-0.003366337,0.008802641,0.007823896,0.001641362,-0.000289771
3/12/2007,0.002747792,0.000596066,0.004462072,0.000789474,0.000409668,0.000869565
3/13/2007,-0.031904482,-0.031969817,-0.017620928,-0.05232711,-0.043816544,-0.030697944
3/14/2007,0.006267691,0.006769231,0.005627292,0.02400111,0.012847966,0.00537795
3/15/2007,0.0066305,0.021393643,0.003697227,0.014632164,0.00845666,0.013372957
3/16/2007,-0.009580838,-0.011968881,-0.009408134,-0.0064094,-0.014046122,-0.004398827
3/19/2007,0.015114873,0.010700586,0.017286432,0.008197823,0.011694663,0.008836524
3/20/2007,0.007742704,0.011586097,0.007705987,0.014529459,0.00357293,0.010510949
3/21/2007,0.021670607,0.027448657,0.034068627,0.068584943,0.027225131,0.025137244
